Gender,Age,TeachingExp,EmotionalLabor,SurfaceActing,DeepActing,EmotionalExpression,CareerCommitment,SocialSupport,SubjectiveSupport,ObjectiveSupport,SupportUtilization,Wellbeing,HealthWorries,EnergyLevel,LifeSatisfaction,Depressed,EmotionalBehaviorControl,Relaxed
2,31,3,31,4,13,14,26,38,21,8,9,79,9,20,7,15,13,15
2,27,5,36,6,15,15,15,49,28,12,9,87,11,17,7,19,14,19
2,31,4,30,4,19,7,23,32,20,7,5,75,10,16,6,14,12,17
2,22,1,37,10,16,11,23,38,23,9,6,78,8,19,6,15,13,17
2,31,5,44,10,20,14,31,43,28,8,7,67,10,15,5,12,11,14
2,22,3,40,12,17,11,23,30,14,11,5,68,10,14,6,13,10,15
2,26,4,36,8,17,11,11,50,30,12,8,64,5,10,9,9,11,20
2,22,2,33,6,16,11,21,37,20,10,7,77,11,18,7,14,11,16
2,33,5,44,12,19,13,27,37,24,7,6,75,10,16,6,14,13,16
2,35,3,41,7,20,14,33,43,24,11,8,81,7,24,9,18,12,11
2,33,5,35,3,19,13,33,43,25,10,8,86,15,19,5,12,14,21
1,33,3,15,6,4,5,10,39,25,8,6,85,7,22,11,16,14,15
2,35,15,37,3,19,15,35,49,27,10,12,78,5,20,8,20,14,11
2,25,2,42,9,18,15,32,40,23,9,8,90,7,21,6,20,14,22
2,29,3,38,8,17,13,14,34,17,9,8,82,7,15,6,18,14,22
2,36,7,40,6,20,14,23,46,29,9,8,65,7,17,10,10,12,9
2,27,8,39,9,17,13,21,22,13,2,7,58,4,15,4,13,12,10
2,30,5,38,8,17,13,24,47,28,11,8,80,6,17,7,16,13,21
2,32,6,44,15,17,12,34,51,28,14,9,85,9,20,8,20,13,15
2,35,10,32,6,14,12,18,41,25,6,10,67,7,19,5,13,10,13
2,36,,43,13,16,14,31,55,25,19,11,67,10,13,6,14,11,13
2,30,3,25,7,8,10,18,41,26,8,7,73,8,16,6,16,11,16
2,35,11,38,11,16,11,26,52,29,13,10,81,11,18,7,14,13,18
2,23,3,36,6,16,14,15,31,17,7,7,45,7,7,6,6,10,9
